"microarray"	"rnaseq"	"flag"
"Os01g0182400"	"Os01g0182400"	1
"Os01g0182500"	"Os01g0182500"	1
"Os01g0182600"	"Os01g0182600"	1
"Os01g0182700"	"Os01g0182700"	1
"Os01g0182900"	"Os01g0182900"	1
"Os01g0183000"	"Os01g0183000"	1
"Os01g0183100"	"Os01g0183100"	1
"Os01g0183300"	"Os01g0183300"	1
"Os01g0183400"	"Os01g0183400"	1
"Os01g0183500"	"Os01g0183500"	1
"Os01g0183600"	"Os01g0183600"	1
"Os01g0183700"	NA	3
"Os01g0183800"	"Os01g0183800"	1
"Os01g0184000"	"Os01g0184000"	1
"Os01g0184100"	"Os01g0184050"	2
"Os01g0184200"	"Os01g0184200"	1
"Os01g0184300"	NA	3
"Os01g0184500"	"Os01g0184500"	1
"Os01g0184700"	"Os01g0184700"	1
"Os01g0184800"	"Os01g0184700"	2
"Os01g0184900"	"Os01g0184900"	1
"Os01g0185200"	"Os01g0185200"	1
"Os01g0185300"	"Os01g0185300"	1
"Os01g0185400"	"Os01g0185400"	1
"Os01g0185500"	"Os01g0185500"	1
"Os01g0185900"	"Os01g0185900"	1
"Os01g0186000"	"Os01g0186000"	1
"Os01g0186200"	"Os01g0186200"	1
"Os01g0186600"	"Os01g0186600"	1
"Os01g0186700"	"Os01g0186700"	1
"Os01g0186800"	NA	3
"Os01g0186900"	"Os01g0186900"	1
"Os01g0187000"	"Os01g0187000"	1
"Os01g0187200"	"Os01g0187200"	1
"Os01g0187300"	"Os01g0187300"	1
"Os01g0187400"	"Os01g0187400"	1
"Os01g0187500"	"Os01g0187500"	1
"Os01g0187600"	"Os01g0187600"	1
"Os01g0187700"	NA	3
"Os01g0187900"	"Os01g0187900"	1
"Os01g0188000"	NA	3
"Os01g0188100"	"Os01g0188100"	1
"Os01g0188200"	"Os01g0188200"	1
"Os01g0188400"	"Os01g0188400"	1
"Os01g0188900"	"Os01g0188900"	1
"Os01g0189100"	"Os01g0189100"	1
"Os01g0189200"	"Os02g0798900"	2
"Os01g0189700"	"Os01g0189700"	1
"Os01g0189800"	"Os01g0189800"	1
"Os01g0190000"	"Os01g0190000"	1
"Os01g0190300"	"Os01g0190300"	1
"Os01g0190400"	"Os01g0190400"	1
"Os01g0190500"	"Os01g0190500"	1
"Os01g0190900"	NA	3
"Os01g0191000"	"Os01g0191000"	1
"Os01g0191100"	"Os01g0191100"	1
"Os01g0191200"	"Os01g0191200"	1
"Os01g0191300"	"Os01g0191300"	1
"Os01g0191400"	"Os01g0191400"	1
"Os01g0191500"	"Os01g0191500"	1
"Os01g0191700"	"Os01g0191700"	1
"Os01g0191800"	"Os01g0191800"	1
"Os01g0191900"	"Os01g0191900"	1
"Os01g0192000"	"Os01g0192000"	1
"Os01g0192300"	"Os01g0192300"	1
"Os01g0192600"	"Os01g0192600"	1
"Os01g0192900"	NA	3
"Os01g0193400"	"Os01g0193400"	1
"Os01g0193500"	NA	3
"Os01g0193600"	"Os01g0193600"	1
"Os01g0193900"	"Os01g0193900"	1
"Os01g0194000"	"Os01g0194000"	1
"Os01g0194200"	"Os01g0194200"	1
"Os01g0194300"	"Os01g0194300"	1
"Os01g0194600"	"Os01g0194600"	1
"Os01g0195000"	"Os01g0195000"	1
"Os01g0195100"	"Os01g0195100"	1
"Os01g0195200"	"Os01g0195200"	1
"Os01g0195400"	NA	3
"Os01g0195500"	"Os01g0195500"	1
"Os01g0195700"	NA	3
"Os01g0196300"	"Os01g0196300"	1
"Os01g0196400"	NA	3
"Os01g0196500"	"Os01g0196500"	1
"Os01g0196600"	"Os01g0196600"	1
"Os01g0196800"	"Os01g0196800"	1
